Ref,Subsystem,Function,Preferred part,Qty,Price,Currency,Price snapshot,Status,Notes
U1,Main board,MCU,STM32U535RET6,1,3.94,EUR,2026-08-24,CANDIDATE,"LQFP64; price observed at low-volume distributor; validate current quote before order"
U2,Main board,LTE modem,SIMCom SIM7672E EU LTE Cat-1 bis,1,18.48,EUR,2026-08-24,CANDIDATE,"EU SKU; require B20 and preferably B28; LTE-only application"
U3,Main board,External flash,BY25Q128ESSIG,1,1.02,EUR,2026-08-24,VALIDATE,"Low-cost 128-Mbit QSPI candidate; validate JEDEC ID, erase/program timing and firmware compatibility"
ALT-U3,Main board,External flash reference,Winbond W25Q128JV,1,3.45,EUR,2026-08-24,REFERENCE,"Known reference option if lower-cost flash validation fails"
U4,Main board,3V3 buck-boost,TI TPS63900,1,2.36,EUR,2026-08-24,CANDIDATE,"Low-Iq rail for MCU and storage"
U5,Main board,3V8 modem buck-boost,TI TPS63070,1,2.89,EUR,2026-08-24,CANDIDATE,"Set 3.8 V; validate cold-battery transient and thermal margin"
U6,Main board,Modem load switch,TI TPS22965,1,0.75,EUR,2026-08-24,CANDIDATE,"Non-Q1 version selected for cost unless qualification requires automotive grade"
U7,Main board,UART level translator,TI TXU0202DCUR,1,0.96,EUR,2026-08-24,CANDIDATE,"SIM7672 main UART 1.8 V to STM32 3.3 V"
U8,Main board,RS-485 transceiver,MaxLinear SP3485EN-L,1,0.83,EUR,2026-08-24,CANDIDATE,"Half-duplex Modbus RTU bus to hive sensors"
D1,Main board,RS-485 TVS,Littelfuse SM712,1,0.26,EUR,2026-08-24,CANDIDATE,"Place at cable connector with short return path"
Q1,Main board,Modem PWRKEY pull-down,2N7002 or equivalent,1,0.17,EUR,2026-08-24,CANDIDATE,"Open-drain style PWRKEY control"
Y1,Main board,RTC crystal,32.768-kHz 20-ppm crystal,1,0.36,EUR,2026-08-24,CANDIDATE,"Freeze exact CL and ESR before schematic release"
J1,Main board,Nano-SIM holder,NSIM-14-C or equivalent,1,0.47,EUR,2026-08-24,CANDIDATE,"Add SIM ESD protection"
J2,Main board,LTE antenna,Taoglas FXUB53 or equivalent wideband LTE antenna,1,5.71,EUR,2026-08-24,REFERENCE,"External antenna; lower-cost antenna allowed only after RF validation"
U9,Main board,Switched 12-V sensor boost,TI TPS61088,1,2.35,EUR,2026-08-24,CANDIDATE,"Generate 12 V only when RS-485 sensors are powered; source is 1S LiFePO4"
S1,Hive sensor,Temperature and humidity,RS-485 Modbus T/RH probe - Elecbee class,1,6.64,EUR,2026-08-24,VALIDATE,"Low-cost ready-made probe; validate accuracy, register map, condensation behavior and hive survivability"
S2,Hive sensor,Vibration low-cost candidate,3-axis IP67 RS-485 Modbus vibration sensor,1,27.96,USD,2026-08-24,VALIDATE,"Marketplace candidate; must expose useful frequency/spectral information, not only RMS"
ALT-S2,Hive sensor,Vibration reference,WITMOTION WTVB01-485,1,52.60,USD,2026-08-24,REFERENCE,"Reference device for side-by-side validation; exposes vibration frequency and aggregate metrics"
MIC1,Hive sensor,Analog microphone,PUI Audio AOM-5024L-HD-F-R,1,3.10,EUR,2026-08-24,CANDIDATE,"Analog capsule in hive; use protected acoustic port"
U10,Hive sensor,Microphone preamplifier,MAX4466 or equivalent low-noise preamp,1,0.87,EUR,2026-08-24,VALIDATE,"Place close to microphone; drive shielded cable at low impedance"
B1,Power,LiFePO4 cell,32700 3.2-V 6-Ah class,1,2.01,EUR,2026-08-24,VALIDATE,"Very low advertised price; capacity, internal resistance, protection and supplier quality must be verified"
P1,Power,Solar panel,20-W 12-V monocrystalline class,1,14.90,EUR,2026-08-24,CANDIDATE,"Panel size to be validated against measured winter energy budget"
U11,Power,Solar LiFePO4 charger,Ready-made 1S LiFePO4 solar charger module,1,6.85,EUR,2026-08-24,PROTOTYPE,"Prototype-only shortcut; custom production charger to be selected after field power measurements"
ALT-U11,Power,Custom solar charger IC,TI BQ24650,1,4.97,EUR,2026-08-24,REFERENCE,"IC only; requires external MOSFETs, inductor and passives; use only after power architecture is frozen"
CBL1,Interconnect,Shielded multicore cable,6x0.22-mm2 shielded cable,5,1.29,EUR_PER_M,2026-08-24,CANDIDATE,"5 m target gives 6.45 EUR cable cost; pair allocation: RS485, power, audio"
J3,Interconnect,Outdoor sealed connector,M8/M12 or sealed automotive 6-pin TBD,1,,,2026-08-24,TBD,"Freeze after cable OD, current, IP target and assembly-cost comparison"
ENC1,Mechanical,Main enclosure,IP65/IP67 enclosure TBD,1,,,2026-08-24,TBD,"External main unit with battery, LTE and solar electronics"
MISC,Main board,Passives protection connectors PCB assembly,TBD,1,,,2026-08-24,TBD,"Not included in price subtotal until exact parts and assembly volume are frozen"
RND-S1,R&D reference,Vibration sensor,ST LIS2DW12TR,1,,,2026-08-24,RND_ONLY,"Retained on lab/reference hardware for correlation against ready-made RS-485 vibration sensor"
RND-S2,R&D reference,Temperature and humidity,Sensirion SHT40,1,,,2026-08-24,RND_ONLY,"Retained on reference hardware; not current product sensor direction"
RND-S3,R&D reference,Digital microphone,TDK T5838,1,,,2026-08-24,RND_ONLY,"Retained for lab/reference acquisition; production direction is analog microphone over cable"
